codigo,descricao
ALOS3,Maior plataforma de shopping centers do Brasil com mais de 50 empreendimentos. Atua na administração e comercialização de espaços em shoppings de alto fluxo. Presente em todas as regiões do país com foco em entretenimento e varejo. Geração de receita diversificada entre aluguel estacionamento e mídia.
ABEV3,Maior cervejaria da América Latina e uma das maiores do mundo. Dona de marcas como Skol Brahma Antarctica Budweiser e Guaraná Antarctica. Atua em cervejas refrigerantes sucos e bebidas energéticas. Presente em 18 países com mais de 30 cervejarias no Brasil. Parte do grupo AB InBev líder global do setor.
ASAI3,Rede de atacarejo (atacado de autosserviço) com mais de 290 lojas no Brasil. Modelo de negócio que combina preços de atacado com conveniência de varejo. Uma das empresas que mais cresce no setor alimentício brasileiro. Atende tanto consumidores finais quanto pequenos comerciantes e restaurantes.
AURE3,Empresa de geração de energia renovável com parques eólicos solares e hidrelétricos. Capacidade instalada superior a 3 GW distribuída em diversas regiões do Brasil. Faz parte do grupo Votorantim com foco em transição energética. Contratos de longo prazo garantem previsibilidade de receita.
AXIA3,Empresa de energia elétrica focada em geração e comercialização. Atua com fontes renováveis e convencionais no mercado brasileiro de energia. Busca crescimento através de aquisições e desenvolvimento de novos projetos.
AXIA6,Empresa de energia elétrica focada em geração e comercialização. Atua com fontes renováveis e convencionais no mercado brasileiro de energia. Busca crescimento através de aquisições e desenvolvimento de novos projetos.
AZZA3,Grupo de moda brasileiro dono das marcas Arezzo Reserva Schutz Anacapri e Vans no Brasil. Líder no segmento de calçados e acessórios de luxo acessível. Presente em mais de 15 países com mais de 1.000 pontos de venda. Modelo de negócio que combina marca própria franquias e e-commerce.
B3SA3,Única bolsa de valores do Brasil e uma das maiores do mundo em valor de mercado. Opera mercados de ações derivativos renda fixa câmbio e commodities. Infraestrutura essencial para o mercado financeiro brasileiro com monopólio natural. Receita diversificada entre negociação custódia e dados de mercado.
BBSE3,Braço de seguros previdência e capitalização do Banco do Brasil. Líder em seguros rurais e um dos maiores em previdência privada do país. Utiliza a rede de agências do BB como canal de distribuição com baixo custo. Pagadora consistente de dividendos com payout elevado.
BBDC3,Segundo maior banco privado do Brasil com mais de 70 milhões de clientes. Atua em varejo seguros previdência e banco de investimento. Presente em todo o território nacional com milhares de agências e pontos de atendimento. Forte atuação digital com o banco Next e plataformas de investimento.
BBDC4,Segundo maior banco privado do Brasil com mais de 70 milhões de clientes. Atua em varejo seguros previdência e banco de investimento. Presente em todo o território nacional com milhares de agências e pontos de atendimento. Forte atuação digital com o banco Next e plataformas de investimento.
BRAP4,Holding que detém participação relevante na Vale maior produtora de minério de ferro do mundo. Controlada pelo grupo Bradesco funciona como veículo de investimento na mineração. Dividendos atrelados aos resultados da Vale. Estrutura simples de holding com baixo custo operacional.
BBAS3,Maior banco público do Brasil com mais de 200 anos de história. Atua em varejo agronegócio investimentos e mercado de capitais. Presente em todo o país com a maior rede de agências do sistema financeiro. Líder em crédito rural e forte pagador de dividendos nos últimos anos.
